,zipcode,bd,variable,value,timestamp,month,quarter,year,prev_timestamp,prev_month_rent,inventory,prev_inventory
113,10032,1.0,2018-07,1825.0,2018-07-01,7,3,2018,2018-06-01,1850.0,279.0,237.0
114,10032,2.0,2018-07,2295.0,2018-07-01,7,3,2018,2018-06-01,2295.0,307.0,277.0
115,10032,3.0,2018-07,2971.0,2018-07-01,7,3,2018,2018-06-01,2933.0,267.0,227.0
116,10033,0.0,2018-07,1650.0,2018-07-01,7,3,2018,2018-06-01,1673.0,68.0,70.0
117,10033,1.0,2018-07,1825.0,2018-07-01,7,3,2018,2018-06-01,1850.0,279.0,237.0
118,10033,2.0,2018-07,2295.0,2018-07-01,7,3,2018,2018-06-01,2295.0,307.0,277.0
119,10033,3.0,2018-07,2971.0,2018-07-01,7,3,2018,2018-06-01,2933.0,267.0,227.0
120,10034,1.0,2018-07,1800.0,2018-07-01,7,3,2018,2018-06-01,1800.0,93.0,80.0
121,10034,2.0,2018-07,2250.0,2018-07-01,7,3,2018,2018-06-01,2250.0,63.0,61.0
122,10034,3.0,2018-07,2678.0,2018-07-01,7,3,2018,2018-06-01,2750.0,24.0,18.0
123,10035,0.0,2018-07,1738.0,2018-07-01,7,3,2018,2018-06-01,1725.0,48.0,46.0
124,10035,1.0,2018-07,2010.0,2018-07-01,7,3,2018,2018-06-01,2050.0,184.0,173.0
125,10035,2.0,2018-07,2495.0,2018-07-01,7,3,2018,2018-06-01,2495.0,200.0,179.0
126,10035,3.0,2018-07,3175.0,2018-07-01,7,3,2018,2018-06-01,3200.0,79.0,71.0
127,10036,0.0,2018-07,2690.0,2018-07-01,7,3,2018,2018-06-01,2690.0,398.0,412.0
128,10036,1.0,2018-07,3400.0,2018-07-01,7,3,2018,2018-06-01,3440.0,660.0,665.0
129,10036,2.0,2018-07,4200.0,2018-07-01,7,3,2018,2018-06-01,4400.0,455.0,469.0
130,10036,3.0,2018-07,5500.0,2018-07-01,7,3,2018,2018-06-01,5500.0,166.0,163.0
131,10037,0.0,2018-07,1775.0,2018-07-01,7,3,2018,2018-06-01,1795.0,114.0,127.0
132,10037,1.0,2018-07,2275.0,2018-07-01,7,3,2018,2018-06-01,2200.0,319.0,346.0
133,10037,2.0,2018-07,2750.0,2018-07-01,7,3,2018,2018-06-01,2795.0,404.0,370.0
